PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
9756,16,Female,Other,Action,18.77255494604806,0,Easy,3,124,95,12,Medium
45058,36,Male,USA,Sports,7.324322707004018,0,Medium,7,68,25,22,Medium
18495,37,Male,Europe,Simulation,10.38422779431158,0,Easy,19,18,57,32,Medium
11092,40,Female,Europe,Action,15.602200886154789,0,Medium,15,74,58,17,Medium
10678,45,Female,USA,Action,3.6046677974571777,0,Medium,15,85,35,9,Medium
18973,48,Female,Asia,Sports,10.519366807558384,0,Hard,4,77,49,42,Medium
27107,21,Female,USA,Action,21.664186578555544,0,Medium,11,92,26,25,Medium
36023,36,Male,Europe,Simulation,20.22036726831213,0,Easy,14,28,7,10,Medium
25083,44,Male,Europe,Action,7.77834751482119,0,Hard,18,108,88,34,High
47404,46,Female,USA,Action,14.91500668667664,1,Easy,7,51,60,13,Medium
31586,45,Male,USA,Simulation,4.015286231273743,0,Medium,7,126,17,40,Medium
22354,40,Male,USA,Action,15.525549231471729,0,Medium,11,139,8,30,High
45789,21,Female,Europe,Action,10.919295114590795,1,Easy,6,163,72,19,Medium
22271,46,Male,Asia,Action,3.5017577960562623,0,Medium,10,153,73,32,High
31301,15,Female,Europe,Strategy,19.787921713049037,1,Easy,18,30,38,11,Medium
13237,18,Female,USA,RPG,15.633553720412642,0,Easy,14,87,34,30,Medium
43508,34,Female,Asia,Simulation,2.8620199390700263,0,Easy,10,106,12,10,Medium
24553,47,Male,USA,Simulation,21.227945934780465,1,Hard,11,79,80,30,Medium
17315,30,Male,USA,Strategy,21.916269879151397,1,Medium,15,97,53,45,High
39473,25,Female,USA,Action,17.376319732633938,0,Easy,18,88,6,15,High
13678,15,Male,Asia,Strategy,2.8941097399014657,0,Hard,13,92,56,11,Medium
38210,36,Male,USA,Action,15.054517775871265,1,Easy,12,70,37,16,Medium
22567,25,Female,Europe,Strategy,17.454345659487124,0,Medium,11,80,89,18,Medium
15677,29,Male,USA,Sports,8.620758385699556,0,Medium,18,170,83,9,High
30183,18,Female,Asia,Action,8.846574067295833,0,Easy,6,149,79,10,Medium
44566,27,Male,Europe,Sports,1.6856077902938376,0,Easy,1,130,91,37,Low
14709,44,Male,USA,RPG,21.65729835426027,1,Easy,17,138,39,14,High
27042,42,Male,USA,Strategy,3.553286490661609,0,Easy,11,16,56,32,Low
15937,45,Male,USA,RPG,23.33987799128372,0,Medium,7,20,27,25,Low
42081,24,Female,Europe,Action,5.142628979510668,0,Easy,9,139,30,34,Medium
36902,27,Male,Asia,Simulation,12.504467423863227,0,Easy,7,124,37,45,Medium
39990,42,Male,Europe,Strategy,21.81165483908042,1,Easy,7,142,9,3,Low
14328,35,Male,Asia,Sports,22.64871215575901,0,Easy,3,27,36,30,Low
20061,36,Female,Europe,RPG,13.518634314854967,0,Easy,3,61,86,43,Medium
32695,40,Female,USA,Simulation,3.3754165032952743,1,Easy,8,137,64,10,Medium
33461,20,Male,Asia,Action,1.7083869897390898,0,Hard,5,120,35,37,Medium
16400,37,Male,Europe,Sports,14.089948357082218,0,Easy,13,13,16,15,Low
47183,40,Male,Europe,Simulation,8.664640015464013,0,Hard,2,42,11,28,Low
17484,23,Female,Europe,Sports,2.957622315149933,1,Easy,8,142,24,12,Medium
24498,18,Male,Other,Strategy,17.662884663101224,0,Easy,12,35,59,35,High
18113,37,Male,USA,RPG,7.505423116531639,0,Easy,3,106,60,20,Medium
27610,37,Female,Other,Strategy,23.181375055794287,0,Medium,15,107,25,36,High
16186,41,Male,USA,Strategy,20.85050373548978,0,Easy,12,143,13,35,High
33376,32,Male,USA,Strategy,9.566472901762074,0,Easy,4,176,72,33,Medium
35451,42,Male,USA,Simulation,19.992964961684997,0,Medium,19,16,74,48,Medium
38566,31,Male,USA,Sports,7.374673126573833,1,Easy,18,154,79,6,High
14553,22,Male,USA,Simulation,10.989221921617414,0,Hard,18,92,10,18,High
19737,24,Male,USA,Sports,10.09460562798236,0,Medium,9,15,9,10,Low
38671,15,Male,Other,Simulation,20.78847164711145,0,Medium,14,27,48,15,Medium
11810,45,Female,Europe,Simulation,12.253792790492824,0,Easy,9,61,43,25,Medium
24180,47,Female,USA,Strategy,14.982445794316655,0,Hard,5,100,8,45,Medium
12260,30,Male,Asia,RPG,5.540490530747869,0,Hard,14,98,23,44,Medium
23064,33,Male,USA,RPG,5.096159110524757,0,Easy,0,63,5,24,Low
34554,20,Male,Other,Sports,16.764529681210867,0,Hard,8,65,37,9,Medium
12791,22,Female,USA,Strategy,11.839816207856895,0,Medium,0,135,93,37,Low
38828,28,Male,Asia,Action,22.653546725453964,0,Easy,9,169,42,32,High
37352,33,Male,USA,Sports,10.545147032645058,0,Easy,12,46,97,22,Medium
29471,43,Male,Asia,Sports,6.498449494448634,0,Medium,5,175,33,16,Medium
27894,24,Female,USA,Strategy,23.424929016295977,0,Easy,9,49,13,4,Medium
